ID,LightlyActiveMinutesTotal,FairlyActiveMinutesTotal,VeryActiveMinutesTotal,ActiveMinutesTotal,LightlyActivePerc,FairlyActivePerc,VeryActivePerc
1503960366,6818,594,1200,8612,79.168601950766373,6.8973525313516024,13.934045517882025
1624580081,4758,180,269,5207,91.376992510082573,3.4568849625504128,5.1661225273670057
1644430081,5354,641,287,6282,85.227634511302128,10.20375676536135,4.5686087233365171
1844505072,3578,40,4,3622,98.785201546107132,1.1043622308117063,0.11043622308117064
1927972279,1196,24,41,1261,94.845360824742258,1.9032513877874702,3.2513877874702621
2022484408,7981,600,1125,9706,82.227488151658761,6.18174325159695,11.590768596744281
2026352035,7956,8,3,7967,99.861930463160547,0.10041420861051839,0.037655328228944393
2320127002,6144,80,42,6266,98.0529843600383,1.2767315671879986,0.67028407277369928
2347167796,4545,370,243,5158,88.1155486622722,7.1733229934082976,4.711128344319504
2873212765,9548,190,437,10175,93.837837837837839,1.8673218673218674,4.2948402948402951
3372868164,6558,82,183,6823,96.116077971566767,1.201817382383116,2.6821046460501248
3977333714,5243,1838,567,7648,68.553870292887026,24.032426778242677,7.4137029288702934
4020332650,2385,166,161,2712,87.9424778761062,6.12094395280236,5.9365781710914449
4057192912,412,6,3,421,97.8622327790974,1.4251781472684086,0.71258907363420432
4319703577,7092,382,111,7585,93.50032959789057,5.0362557679630848,1.4634146341463417
4388161847,7110,631,718,8459,84.052488473814861,7.4595105804468611,8.4880009457382659
4445114986,6482,54,205,6741,96.157840083073737,0.801068090787717,3.0410918261385551
4558609924,8834,425,322,9581,92.203319068990709,4.4358626448178686,3.3608182861914209
4702921684,7362,807,159,8328,88.400576368876088,9.69020172910663,1.9092219020172909
5553957443,6392,403,726,7521,84.988698311394757,5.3583300093072728,9.6529716792979663
5577150313,4438,895,2620,7953,55.80284169495787,11.253614988054823,32.9435433169873
6117666160,8074,57,44,8175,98.7645259938838,0.69724770642201839,0.53822629969418956
6290855005,6596,110,47,6753,97.675107359691992,1.6289056715533836,0.69598696875462751
6775888955,1044,385,286,1715,60.874635568513128,22.448979591836736,16.676384839650147
6962181067,7620,574,707,8901,85.608358611391978,6.4487136276822827,7.9429277609257385
7007744171,7299,423,807,8529,85.578614139992965,4.9595497713682724,9.461836088638762
7086361926,4459,786,1320,6565,67.920792079207928,11.972581873571972,20.106626047220104
8053475328,4680,297,2640,7617,61.441512406459232,3.8991729027176056,34.659314690823159
8253242879,2221,272,390,2883,77.037807839056541,9.4346167186958034,13.527575442247658
8378563200,4839,318,1819,6976,69.3663990825688,4.55848623853211,26.07511467889908
8583815059,4287,688,300,5275,81.27014218009478,13.042654028436019,5.6872037914691944
8792009665,2662,117,28,2807,94.834342714641963,4.1681510509440685,0.997506234413965
8877689391,7276,308,2048,9632,75.539867109634557,3.1976744186046515,21.262458471760798